ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ingested_at
ANGPT1,NM_001146.3,0.7735,0.362517,-0.92291,-5.521,-0.230903,,2026-04-21T13:38:22.490663+00:00
IGHG3,,0.7735,0.365672,-0.91679,-5.526,-0.369283,ENST00000390551.1,2026-04-21T13:38:22.490663+00:00
HDC,NM_002112.3,0.7735,0.366868,0.91447,-5.528,0.499499,,2026-04-21T13:38:22.490663+00:00
ORC2,NM_006190.3,0.7735,0.368817,0.91072,-5.532,0.104725,,2026-04-21T13:38:22.490663+00:00
IL7,NM_001199886.1,0.7735,0.371447,0.90567,-5.536,0.201973,,2026-04-21T13:38:22.490663+00:00
PTPN7,NM_001199797.1,0.7735,0.373398,-0.90193,-5.539,-0.111508,,2026-04-21T13:38:22.490663+00:00
AKT2,NM_001626.4,0.7735,0.374175,-0.90045,-5.54,-0.085308,,2026-04-21T13:38:22.490663+00:00
PPP3R1,NM_000945.3,0.7735,0.374916,-0.89904,-5.541,-0.091316,,2026-04-21T13:38:22.490663+00:00
IFIT1,NM_001548.3,0.7735,0.375313,-0.89828,-5.542,-0.227607,,2026-04-21T13:38:22.490663+00:00
NAA50,NM_025146.1,0.7735,0.375808,0.89734,-5.543,0.07448,,2026-04-21T13:38:22.490663+00:00
SESN2,NM_031459.4,0.7735,0.376643,0.89576,-5.544,0.187343,,2026-04-21T13:38:22.490663+00:00
IL6ST,NM_002184.2,0.7735,0.37777,0.89362,-5.546,0.156733,,2026-04-21T13:38:22.490663+00:00
TRGV3/5,,0.7735,0.379543,-0.89026,-5.549,-0.273607,ENST00000390346.1,2026-04-21T13:38:22.490663+00:00
FCER2,NM_002002.4,0.7735,0.3805,0.88846,-5.55,0.204916,,2026-04-21T13:38:22.490663+00:00
IFNG,NM_000619.2,0.7735,0.381166,-0.8872,-5.551,-0.257819,,2026-04-21T13:38:22.490663+00:00
HLA-DRA,NM_019111.3,0.7735,0.382253,-0.88515,-5.553,-0.168585,,2026-04-21T13:38:22.490663+00:00
IRF8,NM_002163.2,0.7735,0.382631,0.88444,-5.554,0.147873,,2026-04-21T13:38:22.490663+00:00
GZMA,NM_006144.2,0.7735,0.387622,-0.8751,-5.561,-0.163163,,2026-04-21T13:38:22.490663+00:00
PSMA6,NM_002791.2,0.7735,0.388026,-0.87435,-5.562,-0.089666,,2026-04-21T13:38:22.490663+00:00
LEPR,NM_001003679.1,0.7735,0.389168,0.87222,-5.564,0.153441,,2026-04-21T13:38:22.490663+00:00
HLA-DPB1,NM_002121.5,0.7735,0.389538,-0.87153,-5.564,-0.150005,,2026-04-21T13:38:22.490663+00:00
PPM1F,NM_014634.3,0.7735,0.391023,-0.86878,-5.566,-0.097586,,2026-04-21T13:38:22.490663+00:00
PTPRC,NM_080921.3,0.7735,0.391236,0.86838,-5.567,0.082806,,2026-04-21T13:38:22.490663+00:00
PRKCB,NM_212535.1,0.7735,0.39169,0.86754,-5.567,0.086208,,2026-04-21T13:38:22.490663+00:00
CDKN2C,NM_001262.2,0.7735,0.393085,-0.86496,-5.57,-0.101911,,2026-04-21T13:38:22.490663+00:00
CDC16,NM_003903.3,0.7735,0.393262,0.86463,-5.57,0.16063,,2026-04-21T13:38:22.490663+00:00
IL11RA,NM_147162.1,0.7735,0.393645,0.86393,-5.57,0.141751,,2026-04-21T13:38:22.490663+00:00
NR4A1,NM_173157.1,0.7735,0.393958,0.86335,-5.571,0.223553,,2026-04-21T13:38:22.490663+00:00
CD86,NM_175862.4,0.7735,0.395266,-0.86094,-5.573,-0.204258,,2026-04-21T13:38:22.490663+00:00
TRAF2,NM_021138.3,0.7735,0.39587,-0.85983,-5.574,-0.117181,,2026-04-21T13:38:22.490663+00:00
CD160,NM_007053.3,0.7738,0.397276,0.85724,-5.576,0.192271,,2026-04-21T13:38:22.490663+00:00
PTPRJ,NM_001098503.1,0.7745,0.399295,0.85354,-5.579,0.073565,,2026-04-21T13:38:22.490663+00:00
PPT1,NM_000310.3,0.7745,0.402343,-0.84798,-5.583,-0.13548,,2026-04-21T13:38:22.490663+00:00
CD22,NM_001771.2,0.7745,0.402578,0.84755,-5.583,0.19489,,2026-04-21T13:38:22.490663+00:00
CTBP2,NM_001329.4,0.7745,0.403855,0.84523,-5.585,0.134648,,2026-04-21T13:38:22.490663+00:00
SOS1,NM_005633.2,0.7745,0.404867,0.84339,-5.587,0.109248,,2026-04-21T13:38:22.490663+00:00
IL10RB,NM_000628.4,0.7745,0.404927,-0.84328,-5.587,-0.141029,,2026-04-21T13:38:22.490663+00:00
PPP2R1A,NM_014225.3,0.7799,0.409616,-0.83481,-5.594,-0.056079,,2026-04-21T13:38:22.490663+00:00
IGHV4-59,,0.7799,0.410233,-0.8337,-5.594,-0.234423,ENST00000390629.1,2026-04-21T13:38:22.490663+00:00
CUL2,NM_003591.2,0.7824,0.41277,0.82915,-5.598,0.118222,,2026-04-21T13:38:22.490663+00:00
NKG7,NM_005601.3,0.7882,0.417729,-0.82029,-5.605,-0.167542,,2026-04-21T13:38:22.490663+00:00
CTSW,NM_001335.3,0.7882,0.418279,0.81931,-5.606,0.177988,,2026-04-21T13:38:22.490663+00:00
CYP4A11/22,NM_001010969.3,0.7921,0.421606,0.81341,-5.61,0.267154,,2026-04-21T13:38:22.490663+00:00
HDAC9,NM_178423.2,0.793,0.426781,0.80429,-5.617,0.138542,,2026-04-21T13:38:22.490663+00:00
CFLAR,NM_001127183.1,0.793,0.427831,0.80245,-5.618,0.071383,,2026-04-21T13:38:22.490663+00:00
PTGS2,NM_000963.1,0.793,0.428469,0.80133,-5.619,0.302971,,2026-04-21T13:38:22.490663+00:00
NRL,NM_006177.3,0.793,0.428759,0.80083,-5.62,0.176779,,2026-04-21T13:38:22.490663+00:00
CD45RA,NM_002838.4,0.793,0.429094,0.80024,-5.62,0.103669,,2026-04-21T13:38:22.490663+00:00
TRPC1,NM_003304.4,0.793,0.429594,0.79936,-5.621,0.128641,,2026-04-21T13:38:22.490663+00:00
FOXO3,NM_001455.2,0.799,0.434116,0.79148,-5.627,0.065981,,2026-04-21T13:38:22.490663+00:00
CCNA1,NM_003914.3,0.8137,0.444789,0.77307,-5.64,0.179655,,2026-04-21T13:38:22.490663+00:00
SMARCA4,NM_001128849.1,0.8137,0.445185,0.77239,-5.641,0.071758,,2026-04-21T13:38:22.490663+00:00
PPARGC1A,NM_013261.3,0.8137,0.445989,-0.77102,-5.642,-0.222408,,2026-04-21T13:38:22.490663+00:00
CCL3/L1,NM_002983.3,0.8137,0.447198,0.76895,-5.643,0.273758,,2026-04-21T13:38:22.490663+00:00
STAT3,NM_003150.3,0.8193,0.45253,0.75988,-5.65,0.066444,,2026-04-21T13:38:22.490663+00:00
ELOVL4,NM_022726.3,0.8193,0.453139,0.75885,-5.65,0.170365,,2026-04-21T13:38:22.490663+00:00
MX1,NM_002462.2,0.8193,0.454184,0.75708,-5.652,0.155622,,2026-04-21T13:38:22.490663+00:00
MAML3,NM_018717.4,0.8201,0.455906,0.75417,-5.654,0.115902,,2026-04-21T13:38:22.490663+00:00
STAT1,NM_007315.3,0.8275,0.461676,-0.74447,-5.66,-0.089994,,2026-04-21T13:38:22.490663+00:00
RELA,NM_021975.4,0.8275,0.463513,-0.74139,-5.663,-0.06964,,2026-04-21T13:38:22.490663+00:00
IGHG4,,0.8275,0.465199,-0.73858,-5.665,-0.294579,ENST00000390543.1,2026-04-21T13:38:22.490663+00:00
NPRL3,NM_001039476.2,0.8275,0.465218,0.73855,-5.665,0.082367,,2026-04-21T13:38:22.490663+00:00
TRGV9,,0.8281,0.466869,-0.7358,-5.667,-0.175042,ENST00000444775.1,2026-04-21T13:38:22.490663+00:00
HADHB,NM_000183.2,0.8291,0.471144,-0.7287,-5.671,-0.069702,,2026-04-21T13:38:22.490663+00:00
DNMT3A,NM_022552.5,0.8291,0.472284,-0.72681,-5.673,-0.0991,,2026-04-21T13:38:22.490663+00:00
