ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID,ingested_at
TTK,NM_003318.3,0.9355,0.685052,0.40905,-5.844,0.076042,,2026-04-21T13:38:22.490663+00:00
NFATC4,NM_001136022.2,0.9365,0.688251,0.40465,-5.845,0.092817,,2026-04-21T13:38:22.490663+00:00
SP100,NM_003113.3,0.9365,0.690072,0.40215,-5.846,0.055908,,2026-04-21T13:38:22.490663+00:00
MAPK14,NM_001315.2,0.9365,0.690881,-0.40105,-5.847,-0.052731,,2026-04-21T13:38:22.490663+00:00
CDC42,NM_001039802.1,0.9365,0.691885,-0.39967,-5.847,-0.036643,,2026-04-21T13:38:22.490663+00:00
ATM,NM_000051.3,0.9365,0.693148,0.39794,-5.848,0.052555,,2026-04-21T13:38:22.490663+00:00
APH1A,NM_001077628.1,0.9382,0.695916,-0.39415,-5.849,-0.027869,,2026-04-21T13:38:22.490663+00:00
GZMK,NM_002104.2,0.9389,0.700541,0.38783,-5.852,0.076468,,2026-04-21T13:38:22.490663+00:00
TLR1,NM_003263.3,0.9389,0.70176,-0.38617,-5.852,-0.065285,,2026-04-21T13:38:22.490663+00:00
DIABLO,NM_138930.3,0.9389,0.703421,-0.38391,-5.853,-0.054334,,2026-04-21T13:38:22.490663+00:00
CTF1,NM_001330.5,0.9389,0.704487,-0.38246,-5.854,-0.096204,,2026-04-21T13:38:22.490663+00:00
INPPL1,NM_001567.2,0.9389,0.705666,-0.38085,-5.854,-0.035226,,2026-04-21T13:38:22.490663+00:00
E2F5,NM_001083588.1,0.9389,0.70652,0.37969,-5.855,0.062919,,2026-04-21T13:38:22.490663+00:00
ST3GAL6,NM_001271148.1,0.9389,0.706785,-0.37933,-5.855,-0.099026,,2026-04-21T13:38:22.490663+00:00
RBX1,NM_014248.2,0.9455,0.715451,0.36758,-5.859,0.047082,,2026-04-21T13:38:22.490663+00:00
CD244,NM_001166663.1,0.9455,0.718315,-0.36371,-5.86,-0.052123,,2026-04-21T13:38:22.490663+00:00
IGHA1,,0.9455,0.719525,-0.36207,-5.861,-0.145005,ENST00000641837.1,2026-04-21T13:38:22.490663+00:00
CD8B,NM_172099.2,0.9455,0.719612,-0.36196,-5.861,-0.091675,,2026-04-21T13:38:22.490663+00:00
RARA,NM_001024809.3,0.9455,0.722821,-0.35763,-5.862,-0.056906,,2026-04-21T13:38:22.490663+00:00
IL1B,NM_000576.2,0.9455,0.722929,0.35748,-5.862,0.15154,,2026-04-21T13:38:22.490663+00:00
TNFRSF4,NM_003327.3,0.9455,0.723084,0.35727,-5.862,0.068195,,2026-04-21T13:38:22.490663+00:00
GYS2,NM_021957.3,0.9455,0.723622,-0.35655,-5.863,-0.079327,,2026-04-21T13:38:22.490663+00:00
TRGC2,,0.9471,0.727129,-0.35182,-5.864,-0.093801,ENST00000436911.1,2026-04-21T13:38:22.490663+00:00
JAK3,NM_000215.2,0.9471,0.727816,-0.3509,-5.865,-0.046483,,2026-04-21T13:38:22.490663+00:00
KLRB1,NM_002258.2,0.9494,0.732473,0.34464,-5.867,0.069393,,2026-04-21T13:38:22.490663+00:00
CD3G,NM_000073.2,0.9494,0.732594,-0.34448,-5.867,-0.042546,,2026-04-21T13:38:22.490663+00:00
IRF4,NM_002460.1,0.9523,0.738968,0.33594,-5.869,0.058715,,2026-04-21T13:38:22.490663+00:00
BMP8A/B,XM_005271149.4,0.9523,0.741896,0.33202,-5.871,0.063659,,2026-04-21T13:38:22.490663+00:00
CALM1,NM_006888.4,0.9523,0.742767,-0.33086,-5.871,-0.039615,,2026-04-21T13:38:22.490663+00:00
BCL2L1,NM_001191.3,0.9523,0.743477,-0.32991,-5.871,-0.039719,,2026-04-21T13:38:22.490663+00:00
IFNA5,NM_002169.2,0.9523,0.744209,0.32894,-5.872,0.077714,,2026-04-21T13:38:22.490663+00:00
LRP6,NM_002336.1,0.9523,0.748101,-0.32375,-5.873,-0.062352,,2026-04-21T13:38:22.490663+00:00
PIK3AP1,NM_152309.2,0.9523,0.749987,-0.32123,-5.874,-0.048488,,2026-04-21T13:38:22.490663+00:00
ASB4,NM_016116.2,0.9523,0.750204,0.32095,-5.874,0.078001,,2026-04-21T13:38:22.490663+00:00
PIK3R2,NM_005027.3,0.9523,0.751035,0.31984,-5.875,0.076575,,2026-04-21T13:38:22.490663+00:00
PRF1,NM_001083116.1,0.9523,0.753133,0.31705,-5.875,0.064143,,2026-04-21T13:38:22.490663+00:00
KIR2DL3/4,NM_014511.3,0.9523,0.754145,0.3157,-5.876,0.079302,,2026-04-21T13:38:22.490663+00:00
CD72,NM_001782.2,0.9523,0.755506,0.3139,-5.876,0.058196,,2026-04-21T13:38:22.490663+00:00
FBXW4,NM_022039.3,0.9523,0.757363,0.31143,-5.877,0.033883,,2026-04-21T13:38:22.490663+00:00
CD8A,NM_001768.6,0.9523,0.757697,0.31099,-5.877,0.060282,,2026-04-21T13:38:22.490663+00:00
ACOT1/2,NM_001037161.1,0.9523,0.758626,-0.30975,-5.878,-0.039611,,2026-04-21T13:38:22.490663+00:00
ITGAL,NM_002209.2,0.9523,0.75883,0.30948,-5.878,0.027306,,2026-04-21T13:38:22.490663+00:00
RARB,NM_000965.5,0.9612,0.767531,-0.29797,-5.881,-0.084309,,2026-04-21T13:38:22.490663+00:00
FYN,NM_002037.3,0.9612,0.771507,0.29272,-5.882,0.030764,,2026-04-21T13:38:22.490663+00:00
IL15,NM_000585.4,0.9612,0.772834,0.29097,-5.883,0.057182,,2026-04-21T13:38:22.490663+00:00
PPP2R1B,NM_002716.4,0.9612,0.773176,-0.29051,-5.883,-0.030535,,2026-04-21T13:38:22.490663+00:00
GZMB,NM_004131.3,0.9612,0.773494,0.2901,-5.883,0.057058,,2026-04-21T13:38:22.490663+00:00
FAS,NM_000043.4,0.9615,0.777519,-0.28479,-5.885,-0.036589,,2026-04-21T13:38:22.490663+00:00
MCM7,NM_182776.1,0.9615,0.781553,0.27949,-5.886,0.024432,,2026-04-21T13:38:22.490663+00:00
IFNA6,NM_021002.2,0.9615,0.782354,0.27844,-5.886,0.122216,,2026-04-21T13:38:22.490663+00:00
TNFRSF18,NM_148901.1,0.9615,0.784549,-0.27555,-5.887,-0.054141,,2026-04-21T13:38:22.490663+00:00
PDCD1,NM_005018.2,0.9615,0.785583,0.2742,-5.887,0.069298,,2026-04-21T13:38:22.490663+00:00
GLS2,NM_013267.2,0.9615,0.78583,-0.27387,-5.888,-0.046343,,2026-04-21T13:38:22.490663+00:00
ATP7A,NM_000052.7,0.9615,0.787136,0.27216,-5.888,0.032112,,2026-04-21T13:38:22.490663+00:00
XAF1,NM_199139.2,0.9615,0.787214,-0.27206,-5.888,-0.041206,,2026-04-21T13:38:22.490663+00:00
S1PR1,NM_001400.4,0.9615,0.788755,-0.27004,-5.889,-0.05317,,2026-04-21T13:38:22.490663+00:00
OAS3,NM_006187.3,0.9615,0.788846,-0.26992,-5.889,-0.050187,,2026-04-21T13:38:22.490663+00:00
IGHM,,0.963,0.792136,-0.26561,-5.89,-0.062045,ENST00000637539.1,2026-04-21T13:38:22.490663+00:00
SEMA4D,NM_001142287.1,0.963,0.793159,-0.26427,-5.89,-0.026417,,2026-04-21T13:38:22.490663+00:00
TAPBP,NM_003190.4,0.9642,0.797002,0.25924,-5.891,0.034091,,2026-04-21T13:38:22.490663+00:00
IKZF1,NM_006060.4,0.9642,0.797193,-0.25899,-5.891,-0.030287,,2026-04-21T13:38:22.490663+00:00
CBL,NM_005188.3,0.968,0.801857,-0.2529,-5.893,-0.020312,,2026-04-21T13:38:22.490663+00:00
SEL1L,NM_005065.5,0.9693,0.816196,-0.23424,-5.897,-0.024763,,2026-04-21T13:38:22.490663+00:00
IGLC1,,0.9693,0.816815,-0.23343,-5.897,-0.076782,ENST00000390321.1,2026-04-21T13:38:22.490663+00:00
TRGV2,,0.9693,0.81818,0.23166,-5.898,0.084518,ENST00000426402.1,2026-04-21T13:38:22.490663+00:00
CD45R0,NM_080921.3,0.9693,0.818421,-0.23135,-5.898,-0.028485,,2026-04-21T13:38:22.490663+00:00
PSMD6,NM_001271779.1,0.9693,0.818894,0.23074,-5.898,0.027397,,2026-04-21T13:38:22.490663+00:00
CARD11,NM_032415.2,0.9693,0.819502,-0.22995,-5.898,-0.033385,,2026-04-21T13:38:22.490663+00:00
PDHB,NM_000925.3,0.9693,0.819967,0.22934,-5.898,0.059911,,2026-04-21T13:38:22.490663+00:00
TYK2,NM_003331.4,0.9693,0.820553,0.22858,-5.898,0.020694,,2026-04-21T13:38:22.490663+00:00
FOXO1,NM_002015.3,0.9693,0.820831,0.22822,-5.898,0.032252,,2026-04-21T13:38:22.490663+00:00
SIGLEC5,NM_003830.3,0.9693,0.822749,0.22574,-5.899,0.044512,,2026-04-21T13:38:22.490663+00:00
PTPN2,NM_002828.3,0.9693,0.824035,-0.22407,-5.899,-0.017882,,2026-04-21T13:38:22.490663+00:00
DGKA,NM_001345.4,0.9693,0.826968,-0.22027,-5.9,-0.030857,,2026-04-21T13:38:22.490663+00:00
CD28,NM_001243077.1,0.9693,0.829822,0.21658,-5.901,0.032416,,2026-04-21T13:38:22.490663+00:00
CUL1,NM_003592.2,0.9693,0.834414,0.21064,-5.902,0.020552,,2026-04-21T13:38:22.490663+00:00
FCGR2B,NM_004001.4,0.9693,0.837058,-0.20723,-5.903,-0.039506,,2026-04-21T13:38:22.490663+00:00
KLRK1,NM_007360.1,0.9693,0.837911,0.20613,-5.903,0.034598,,2026-04-21T13:38:22.490663+00:00
PVRIG,NM_024070.3,0.9693,0.838905,-0.20485,-5.903,-0.027832,,2026-04-21T13:38:22.490663+00:00
DHRS3,NM_004753.4,0.9693,0.842629,0.20005,-5.904,0.032688,,2026-04-21T13:38:22.490663+00:00
PLCG1,NM_002660.2,0.9693,0.842766,0.19987,-5.904,0.031846,,2026-04-21T13:38:22.490663+00:00
RBL2,NM_005611.3,0.9693,0.843631,0.19876,-5.904,0.024525,,2026-04-21T13:38:22.490663+00:00
SOCS2,NM_003877.3,0.9693,0.848738,-0.19218,-5.906,-0.028284,,2026-04-21T13:38:22.490663+00:00
TMED2,NM_006815.3,0.9693,0.850142,0.19037,-5.906,0.015506,,2026-04-21T13:38:22.490663+00:00
SMAD4,NM_005359.3,0.9693,0.850274,-0.1902,-5.906,-0.021931,,2026-04-21T13:38:22.490663+00:00
RASGRP1,NM_005739.3,0.9693,0.851445,-0.1887,-5.906,-0.02606,,2026-04-21T13:38:22.490663+00:00
RSAD2,NM_080657.4,0.9693,0.85207,-0.18789,-5.907,-0.042308,,2026-04-21T13:38:22.490663+00:00
CACNB4,NM_000726.3,0.9693,0.852598,-0.18721,-5.907,-0.037882,,2026-04-21T13:38:22.490663+00:00
NT5E,NM_002526.2,0.9693,0.853821,0.18564,-5.907,0.028755,,2026-04-21T13:38:22.490663+00:00
VCAM1,NM_001199834.1,0.9693,0.855923,0.18294,-5.907,0.052707,,2026-04-21T13:38:22.490663+00:00
PRKCZ,NM_002744.4,0.9693,0.857696,0.18067,-5.908,0.026738,,2026-04-21T13:38:22.490663+00:00
FPR1,NM_002029.3,0.9693,0.858833,0.17921,-5.908,0.048176,,2026-04-21T13:38:22.490663+00:00
PNOC,NM_001284244.1,0.9693,0.859425,0.17845,-5.908,0.030682,,2026-04-21T13:38:22.490663+00:00
CXCR6,NM_006564.1,0.9693,0.860764,-0.17673,-5.908,-0.03975,,2026-04-21T13:38:22.490663+00:00
CSF1,NM_000757.4,0.9693,0.862015,0.17512,-5.909,0.034927,,2026-04-21T13:38:22.490663+00:00
TAF6L,NM_006473.3,0.9693,0.862583,0.17439,-5.909,0.031202,,2026-04-21T13:38:22.490663+00:00
SLAMF6,NM_001184714.1,0.9693,0.863779,-0.17286,-5.909,-0.024762,,2026-04-21T13:38:22.490663+00:00
CIITA,NM_000246.3,0.9693,0.864681,0.17171,-5.909,0.027303,,2026-04-21T13:38:22.490663+00:00
LILRA3,NM_006865.3,0.9693,0.86578,-0.1703,-5.91,-0.084258,,2026-04-21T13:38:22.490663+00:00
GZMH,NM_033423.4,0.9693,0.865879,-0.17017,-5.91,-0.057651,,2026-04-21T13:38:22.490663+00:00
TRAT1,NM_016388.3,0.9693,0.866024,-0.16998,-5.91,-0.026329,,2026-04-21T13:38:22.490663+00:00
CHUK,NM_001320928.1,0.9693,0.869628,0.16537,-5.91,0.018211,,2026-04-21T13:38:22.490663+00:00
PPP2R5C,NM_002719.3,0.9693,0.870343,-0.16445,-5.91,-0.016864,,2026-04-21T13:38:22.490663+00:00
NFATC1,NM_172389.1,0.9693,0.871203,-0.16335,-5.911,-0.013773,,2026-04-21T13:38:22.490663+00:00
RRAGC,NM_001271851.1,0.9693,0.872918,-0.16116,-5.911,-0.012427,,2026-04-21T13:38:22.490663+00:00
ADORA2B,NM_000676.2,0.9693,0.872963,0.1611,-5.911,0.027663,,2026-04-21T13:38:22.490663+00:00
IL31RA,NM_139017.3,0.9693,0.874121,0.15962,-5.911,0.041484,,2026-04-21T13:38:22.490663+00:00
SLC2A6,NM_001145099.1,0.9693,0.8753,0.15811,-5.911,0.026462,,2026-04-21T13:38:22.490663+00:00
NFKBIB,NM_002503.5,0.9693,0.877459,0.15535,-5.912,0.019739,,2026-04-21T13:38:22.490663+00:00
PTPRK,NM_001135648.1,0.9693,0.879702,-0.15248,-5.912,-0.03964,,2026-04-21T13:38:22.490663+00:00
GZMM,NM_005317.2,0.9693,0.88099,-0.15084,-5.913,-0.026597,,2026-04-21T13:38:22.490663+00:00
PDGFRA,NM_006206.3,0.9693,0.881855,-0.14973,-5.913,-0.036211,,2026-04-21T13:38:22.490663+00:00
PIK3R3,NM_001114172.1,0.9693,0.881993,-0.14956,-5.913,-0.02906,,2026-04-21T13:38:22.490663+00:00
CDC20,NM_001255.2,0.9693,0.882332,0.14912,-5.913,0.032628,,2026-04-21T13:38:22.490663+00:00
MAPK13,NM_002754.3,0.9693,0.883808,-0.14724,-5.913,-0.016344,,2026-04-21T13:38:22.490663+00:00
CD48,NM_001778.2,0.97,0.887685,0.14229,-5.914,0.014796,,2026-04-21T13:38:22.490663+00:00
PDGFRB,NM_002609.3,0.97,0.88944,-0.14005,-5.914,-0.029456,,2026-04-21T13:38:22.490663+00:00
GOT2,NM_002080.3,0.97,0.894234,-0.13394,-5.915,-0.022797,,2026-04-21T13:38:22.490663+00:00
PTGER4,NM_000958.2,0.97,0.894247,-0.13393,-5.915,-0.0168,,2026-04-21T13:38:22.490663+00:00
CD6,NM_001254751.1,0.97,0.894654,0.13341,-5.915,0.032797,,2026-04-21T13:38:22.490663+00:00
GRB10,NM_001001549.2,0.97,0.895355,0.13251,-5.915,0.019588,,2026-04-21T13:38:22.490663+00:00
ITGA6,NM_000210.1,0.97,0.8963,-0.13131,-5.915,-0.022615,,2026-04-21T13:38:22.490663+00:00
YWHAZ,NM_001135699.1,0.97,0.896688,0.13082,-5.915,0.009415,,2026-04-21T13:38:22.490663+00:00
DLL4,NM_019074.2,0.9729,0.900865,-0.1255,-5.916,-0.027061,,2026-04-21T13:38:22.490663+00:00
HLA-E,NM_005516.5,0.9733,0.902751,-0.1231,-5.916,-0.01082,,2026-04-21T13:38:22.490663+00:00
CR2,NM_001006658.1,0.9741,0.905105,0.1201,-5.916,0.022586,,2026-04-21T13:38:22.490663+00:00
TUSC2,NM_007275.2,0.9756,0.910209,0.11361,-5.917,0.020953,,2026-04-21T13:38:22.490663+00:00
JAG1,NM_000214.2,0.9756,0.910603,0.11311,-5.917,0.022798,,2026-04-21T13:38:22.490663+00:00
GATA3,NM_001002295.1,0.9756,0.912946,-0.11013,-5.918,-0.016892,,2026-04-21T13:38:22.490663+00:00
CD5,NM_014207.2,0.9756,0.913509,-0.10942,-5.918,-0.018246,,2026-04-21T13:38:22.490663+00:00
GLUD1/2,NM_012084.3,0.9756,0.914112,-0.10865,-5.918,-0.009952,,2026-04-21T13:38:22.490663+00:00
CDH1,NM_004360.2,0.9768,0.918076,-0.10362,-5.918,-0.018562,,2026-04-21T13:38:22.490663+00:00
IL18,NM_001562.3,0.9768,0.918306,0.10333,-5.918,0.026971,,2026-04-21T13:38:22.490663+00:00
KLRC2/3,NM_002260.3,0.9769,0.920219,-0.1009,-5.919,-0.051894,,2026-04-21T13:38:22.490663+00:00
SMC3,NM_005445.3,0.9769,0.921478,-0.0993,-5.919,-0.011276,,2026-04-21T13:38:22.490663+00:00
XIAP,NM_001167.3,0.98,0.92677,0.09259,-5.919,0.011032,,2026-04-21T13:38:22.490663+00:00
TNFRSF10A,NM_003844.2,0.98,0.928413,0.09051,-5.919,0.010968,,2026-04-21T13:38:22.490663+00:00
SLC2A12,NM_145176.2,0.98,0.929074,0.08967,-5.92,0.028256,,2026-04-21T13:38:22.490663+00:00
LYN,NM_002350.3,0.9848,0.937867,0.07853,-5.92,0.014264,,2026-04-21T13:38:22.490663+00:00
TELO2,NM_016111.3,0.9848,0.939387,-0.0766,-5.921,-0.012124,,2026-04-21T13:38:22.490663+00:00
CCL5,NM_002985.2,0.9848,0.940409,-0.07531,-5.921,-0.015407,,2026-04-21T13:38:22.490663+00:00
KLRD1,NM_001351060.1,0.9848,0.940853,-0.07474,-5.921,-0.016191,,2026-04-21T13:38:22.490663+00:00
EOMES,NM_005442.2,0.9848,0.941965,0.07334,-5.921,0.014967,,2026-04-21T13:38:22.490663+00:00
CHEK1,NM_001114122.2,0.9848,0.945277,0.06914,-5.921,0.008998,,2026-04-21T13:38:22.490663+00:00
CRLF2,NM_022148.3,0.9848,0.945954,0.06829,-5.921,0.011581,,2026-04-21T13:38:22.490663+00:00
BTK,NM_000061.1,0.9848,0.947583,-0.06623,-5.921,-0.012713,,2026-04-21T13:38:22.490663+00:00
NCR3,NM_147130.2,0.9848,0.949158,-0.06423,-5.921,-0.012544,,2026-04-21T13:38:22.490663+00:00
IL1RL1,NM_016232.4,0.9848,0.949175,-0.06421,-5.921,-0.016835,,2026-04-21T13:38:22.490663+00:00
CCNB3,NM_033031.2,0.9858,0.952824,0.0596,-5.922,0.012596,,2026-04-21T13:38:22.490663+00:00
SLC8A1,NM_021097.1,0.9858,0.954667,0.05726,-5.922,0.014815,,2026-04-21T13:38:22.490663+00:00
MAPK8,NM_002750.2,0.9858,0.954797,-0.0571,-5.922,-0.007247,,2026-04-21T13:38:22.490663+00:00
CDKN1C,NM_000076.2,0.9906,0.961409,-0.04874,-5.922,-0.008555,,2026-04-21T13:38:22.490663+00:00
HMGB1,NM_002128.4,0.9906,0.96305,0.04667,-5.922,0.006379,,2026-04-21T13:38:22.490663+00:00
JAK2,NM_004972.3,0.9906,0.964113,0.04532,-5.922,0.007322,,2026-04-21T13:38:22.490663+00:00
TOX4,NM_014828.2,0.9933,0.972034,-0.03531,-5.923,-0.002932,,2026-04-21T13:38:22.490663+00:00
ENTPD1,NM_001098175.1,0.9933,0.97434,0.0324,-5.923,0.007698,,2026-04-21T13:38:22.490663+00:00
PTPRS,NM_002850.3,0.9933,0.977974,0.02781,-5.923,0.006068,,2026-04-21T13:38:22.490663+00:00
PTGR1,NM_001146109.1,0.9933,0.979636,-0.02571,-5.923,-0.005754,,2026-04-21T13:38:22.490663+00:00
LCP2,NM_005565.3,0.9933,0.980574,0.02453,-5.923,0.003609,,2026-04-21T13:38:22.490663+00:00
DVL1,NM_004421.2,0.9933,0.98072,0.02434,-5.923,0.002821,,2026-04-21T13:38:22.490663+00:00
ITGA10,NM_003637.3,0.9933,0.985314,0.01854,-5.923,0.004274,,2026-04-21T13:38:22.490663+00:00
FCGR3A/B,NM_000570.4,0.9933,0.985429,-0.0184,-5.923,-0.003332,,2026-04-21T13:38:22.490663+00:00
IFIT3,NM_001031683.2,0.9933,0.986123,-0.01752,-5.923,-0.004012,,2026-04-21T13:38:22.490663+00:00
TBK1,NM_013254.2,0.9933,0.9865,-0.01704,-5.923,-0.002569,,2026-04-21T13:38:22.490663+00:00
TCF7,NM_201633.2,0.9933,0.987283,0.01606,-5.923,0.00266,,2026-04-21T13:38:22.490663+00:00
ORC4,NM_181742.1,0.9933,0.987813,-0.01539,-5.923,-0.001463,,2026-04-21T13:38:22.490663+00:00
LRRK2,NM_198578.3,0.9933,0.990147,0.01244,-5.923,0.003408,,2026-04-21T13:38:22.490663+00:00
TRGC1,,0.9933,0.990757,-0.01167,-5.923,-0.002915,ENST00000443402.1,2026-04-21T13:38:22.490663+00:00
IL10RA,NM_001558.2,0.9933,0.99148,-0.01076,-5.923,-0.000901,,2026-04-21T13:38:22.490663+00:00
KLRC1,NM_002259.3,0.9933,0.992829,0.00905,-5.923,0.002159,,2026-04-21T13:38:22.490663+00:00
MS4A4A,NM_001243266.1,0.9933,0.993311,-0.00844,-5.923,-0.00254,,2026-04-21T13:38:22.490663+00:00
