symbol,title,pvalue,log2foldchange,idarea
PLCG1,"K01116 (PLCG1), K05859 (PLCG2)",0.707,-0.0909072,50653D5D
PLCG2,"K01116 (PLCG1), K05859 (PLCG2)",0.037228,0.457401,50653D5D
PRKCA,"K02677 (PRKCA), K19662 (PRKCB), K19663 (PRKCG)",0.00427,-0.780629,46A63A12
PRKCB,"K02677 (PRKCA), K19662 (PRKCB), K19663 (PRKCG)",0.39169,0.086208,46A63A12
RELA,"K02580 (NFKB1), K04735 (RELA)",0.0264,-0.555163,292F5351
RELA,"K02580 (NFKB1), K04735 (RELA)",0.0264,-0.555163,66ACCB64
RELA,"K02580 (NFKB1), K04735 (RELA)",0.0264,-0.555163,C7BD2CBD
RIGI,K12646 (RIGI),0.947,0.0193085,4AE77FDA
SELP,K06496 (SELP),0.00113,1.37716,D9D6E585
STAT1,K11220 (STAT1),0.461676,-0.089994,CF361C6E
STAT2,K11221 (STAT2),0.569,0.180063,CF3A9074
STAT3,K04692 (STAT3),0.124,-0.248366,C3616F7A
STAT3,K04692 (STAT3),0.124,-0.248366,C4DEF086
STING1,K12654 (STING1),0.224,0.217574,33C8EF83
SYK,K05855 (SYK),0.512981,-0.10766,DCF9D23B
SYK,K05855 (SYK),0.512981,-0.10766,DCFDC535
TBK1,K05410 (TBK1),0.904,-0.0311829,9FDD2BA6
TBK1,K05410 (TBK1),0.904,-0.0311829,B997FCB8
TLR2,"K10159 (TLR2), K10160 (TLR4)",0.0756,-0.446929,6D6D6606
TLR3,K05401 (TLR3),0.828,0.10996,56475BC1
TLR4,"K10159 (TLR2), K10160 (TLR4)",0.837,-0.0566339,6D6D6606
TLR7,"K05404 (TLR7), K10170 (TLR8)",0.114056,-0.345528,563FF232
TLR8,"K05404 (TLR7), K10170 (TLR8)",0.378,0.408112,563FF232
TNF,K03156 (TNF),0.00974,-1.28951,08D76C0D
TNF,K03156 (TNF),0.00974,-1.28951,2BB58713
TNF,K03156 (TNF),0.00974,-1.28951,5298356B
TNF,K03156 (TNF),0.00974,-1.28951,ADB5FF74
TNF,K03156 (TNF),0.00974,-1.28951,C143DF32
TNFRSF1A,K03158 (TNFRSF1A),0.024645,-0.357582,ED9C79FF
TRAF3,K03174 (TRAF3),0.00911,-0.688677,43AABB95
TRAF6,K03175 (TRAF6),0.127,-0.366211,C7DE6674
TYK2,"K11217 (JAK1), K11219 (TYK2)",0.209,0.196475,E0F29C35
VWF,K03900 (VWF),0.0083,1.67722,DB51E185
