ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID
TGFB1,NM_000660.3,0.6312,0.191858,1.33141,-5.098,0.120616,
TREM2,NM_018965.3,0.6336,0.194199,1.32425,-5.107,0.273414,
LPL,NM_000237.2,0.6336,0.194564,-1.32314,-5.108,-0.354318,
CD70,NM_001252.2,0.6393,0.197312,1.31483,-5.118,0.257683,
NCF4,NM_000631.4,0.6398,0.198488,1.3113,-5.122,0.26242,
MALT1,NM_006785.2,0.6423,0.20164,1.30193,-5.133,0.122845,
SUMO1,NM_003352.4,0.6423,0.202059,1.30069,-5.135,0.144656,
CASP8,NM_001080124.1,0.6423,0.202304,1.29996,-5.135,0.190025,
IL21R,NM_181079.4,0.6494,0.205547,-1.29045,-5.147,-0.19185,
CARD16,NM_001017534.1,0.6508,0.207039,1.28612,-5.152,0.217759,
LILRA1,NM_001278318.1,0.6523,0.208521,-1.28183,-5.157,-0.280013,
SPAG9,NM_001130528.2,0.6545,0.210274,1.27679,-5.163,0.162978,
TOX2,NM_001098798.1,0.6546,0.211318,-1.27381,-5.166,-0.30713,
TYROBP,NM_003332.3,0.6594,0.21392,-1.26641,-5.175,-0.249232,
PSMC6,NM_002806.3,0.6685,0.219889,-1.24971,-5.194,-0.174155,
ANAPC4,NM_013367.2,0.6685,0.220196,1.24885,-5.195,0.21121,
TNFRSF14,NM_003820.3,0.6685,0.221786,-1.24446,-5.2,-0.131285,
PECAM1,NM_000442.3,0.6685,0.221826,-1.24436,-5.2,-0.205263,
VEGFA,NM_001025366.1,0.6685,0.222138,1.2435,-5.201,0.262296,
IL9R,XM_011531151.1,0.6753,0.22568,1.23382,-5.212,0.307171,
RASGRP3,NM_170672.2,0.6753,0.226761,1.23089,-5.215,0.213936,
VSIR,NM_022153.1,0.6753,0.227568,-1.2287,-5.218,-0.156612,
ICAM1,NM_000201.2,0.6808,0.231301,1.21868,-5.229,0.204279,
LPAR1,NM_001401.3,0.6808,0.231567,-1.21797,-5.23,-0.275433,
SIGLEC6,NM_001177548.1,0.6897,0.235752,-1.20689,-5.242,-0.250898,
CCNC,NM_005190.3,0.6897,0.236795,-1.20415,-5.245,-0.122955,
CD96,NM_005816.4,0.6901,0.238726,1.19911,-5.25,0.164825,
TRGV8,,0.6901,0.240513,-1.19446,-5.256,-0.293085,ENST00000390343.1
UCP1,NM_021833.4,0.6901,0.24173,-1.19131,-5.259,-0.236747,
KIR2DL1/2,NM_014219.2,0.6901,0.242774,1.18862,-5.262,0.37477,
PDGFD,NM_025208.4,0.6901,0.243179,1.18758,-5.263,0.229059,
ITGAX,NM_000887.4,0.6901,0.243694,1.18626,-5.264,0.212002,
IGHG1,,0.6901,0.247269,-1.17713,-5.274,-0.549179,ENST00000390542.1
LILRB3,NM_006864.3,0.6901,0.249029,-1.17267,-5.279,-0.247676,
TRIM2,NM_001302694.1,0.6901,0.249168,1.17232,-5.28,0.219375,
SCP2,NM_001007100.2,0.6901,0.251341,-1.16685,-5.285,-0.085907,
ITCH,NM_001257138.1,0.6901,0.251534,1.16636,-5.286,0.11886,
PCTP,NM_001102402.2,0.6901,0.252197,-1.1647,-5.288,-0.183106,
PDCD1LG2,NM_025239.3,0.6901,0.252823,1.16314,-5.289,0.222817,
SH2D1A,NM_002351.4,0.6901,0.253052,-1.16256,-5.29,-0.193577,
HDAC7,NM_001098416.2,0.6901,0.253223,-1.16214,-5.29,-0.130595,
NFATC3,NM_004555.2,0.697,0.256844,1.15314,-5.3,0.128105,
KRAS,NM_033360.2,0.7055,0.261085,1.14273,-5.311,0.080441,
GRB2,NM_002086.4,0.7067,0.266163,-1.13042,-5.324,-0.126053,
STAG2,NM_001042749.1,0.7067,0.266703,1.12912,-5.325,0.113525,
TAB2,NM_015093.3,0.7067,0.267231,1.12785,-5.327,0.101514,
CSH2/GH2,NM_020991.3,0.7067,0.267654,1.12683,-5.328,0.339283,
CASP9,XM_011542270.1,0.7067,0.26866,1.12443,-5.33,0.078525,
IDO1,NM_002164.5,0.7067,0.268923,-1.1238,-5.331,-0.23866,
AKT1,NM_001014432.1,0.7067,0.269334,1.12281,-5.332,0.08939,
LEF1,NM_016269.3,0.71,0.272248,-1.11588,-5.339,-0.235352,
CD3E,NM_000733.3,0.71,0.272822,-1.11452,-5.34,-0.154139,
GLS,NM_014905.3,0.7172,0.276708,1.10538,-5.35,0.148944,
TBL1XR1,NM_024665.4,0.7196,0.28043,1.0967,-5.358,0.112406,
LILRB4,NM_001278429.3,0.7196,0.280476,-1.0966,-5.359,-0.265542,
IL16,NM_004513.4,0.7196,0.281042,-1.09529,-5.36,-0.117987,
IL10,NM_000572.3,0.72,0.282317,1.09234,-5.363,0.310153,
IGKC,,0.7207,0.284623,-1.08703,-5.368,-0.371509,ENST00000390237.1
CD14,NM_000591.2,0.7207,0.284952,-1.08627,-5.369,-0.304072,
CPA3,NM_001870.2,0.7207,0.285993,1.08389,-5.371,0.283778,
UBE2I,NM_194260.2,0.7227,0.287944,-1.07944,-5.376,-0.127526,
CD19,XM_011545981.1,0.7277,0.292276,1.06963,-5.386,0.22551,
IL13RA1,NM_001560.3,0.7277,0.293176,-1.0676,-5.388,-0.253881,
LAMP1,NM_005561.3,0.7277,0.295289,-1.06286,-5.392,-0.091911,
HRAS,NM_005343.2,0.7277,0.296604,-1.05993,-5.395,-0.110277,
PDK4,NM_002612.3,0.7277,0.296983,-1.05908,-5.396,-0.368934,
NFKBIE,NM_004556.2,0.7277,0.29785,1.05715,-5.398,0.161958,
CDC14B,NM_001077181.1,0.7277,0.297973,1.05688,-5.398,0.151279,
TRDV1,,0.7467,0.307774,-1.03534,-5.419,-0.309619,ENST00000390452.1
CD101,NM_004258.3,0.7467,0.309231,-1.03218,-5.422,-0.276811,
ITGAE,NM_002208.4,0.7467,0.309268,-1.0321,-5.422,-0.160722,
UHRF1,NM_001290050.1,0.7493,0.311501,-1.02727,-5.427,-0.216137,
NFE2L2,NM_006164.3,0.7503,0.313262,1.02348,-5.43,0.114713,
OAT,NM_000274.3,0.7503,0.31454,-1.02074,-5.433,-0.079436,
FGF10,NM_004465.1,0.7503,0.315466,-1.01876,-5.435,-0.270249,
PPARG,NM_005037.5,0.7504,0.319165,1.01089,-5.442,0.132007,
BCL2,NM_000657.2,0.7504,0.320215,1.00867,-5.444,0.159187,
STIM1,NM_003156.4,0.7504,0.320921,1.00718,-5.446,0.132893,
MBD3,NM_001281453.2,0.7504,0.322612,1.00361,-5.449,0.223965,
PLSCR1,NM_021105.2,0.7504,0.323128,1.00253,-5.45,0.17936,
IRS1,NM_005544.2,0.7504,0.323384,1.00199,-5.45,0.184751,
HAVCR2,NM_032782.4,0.7504,0.323783,1.00115,-5.451,0.144136,
LILRB1,NM_001081637.1,0.755,0.326961,-0.9945,-5.457,-0.197238,
CCNB1,NM_031966.3,0.7564,0.332876,-0.98224,-5.469,-0.121812,
HGF,NM_000601.4,0.7564,0.332996,-0.98199,-5.469,-0.272435,
PIAS2,NM_004671.3,0.7564,0.336068,0.97569,-5.475,0.119813,
LAG3,NM_002286.5,0.7564,0.336805,-0.97418,-5.476,-0.195176,
KLRG1,NM_001329099.1,0.7564,0.337204,0.97336,-5.477,0.205302,
FCGR1A/B,NM_001017986.3,0.7564,0.337514,-0.97273,-5.477,-0.257689,
TRIM35,NM_171982.3,0.7564,0.337594,-0.97257,-5.477,-0.13591,
IGHD,,0.7564,0.33921,0.96928,-5.48,0.228178,ENST00000613640.1
IL1R1,NM_001320984.1,0.7564,0.339446,0.9688,-5.481,0.204858,
RICTOR,NM_152756.3,0.7564,0.339484,0.96872,-5.481,0.133971,
ACAT2,NM_005891.2,0.7564,0.340686,0.96628,-5.483,0.251711,
CCR1,NM_001295.2,0.7642,0.347034,-0.95348,-5.494,-0.221006,
CEBPB,NM_005194.4,0.7642,0.347533,0.95248,-5.495,0.164847,
PYCR2,NM_001271681.1,0.7642,0.348078,-0.95139,-5.496,-0.138814,
BID,NM_197966.2,0.7642,0.349009,-0.94953,-5.498,-0.136767,
B4GALT1,NM_001497.3,0.7648,0.350471,0.94662,-5.501,0.107842,
ITGB8,NM_002214.2,0.7689,0.353552,0.9405,-5.506,0.215138,
CCL4/L1,NM_002984.2,0.7735,0.357778,0.93217,-5.513,0.190485,
FASLG,NM_000639.1,0.7735,0.36017,-0.92749,-5.517,-0.182299,
ALDH1B1,NM_000692.3,0.7735,0.360238,-0.92736,-5.517,-0.12366,
ANGPT1,NM_001146.3,0.7735,0.362517,-0.92291,-5.521,-0.230903,
IGHG3,,0.7735,0.365672,-0.91679,-5.526,-0.369283,ENST00000390551.1
HDC,NM_002112.3,0.7735,0.366868,0.91447,-5.528,0.499499,
ORC2,NM_006190.3,0.7735,0.368817,0.91072,-5.532,0.104725,
IL7,NM_001199886.1,0.7735,0.371447,0.90567,-5.536,0.201973,
PTPN7,NM_001199797.1,0.7735,0.373398,-0.90193,-5.539,-0.111508,
AKT2,NM_001626.4,0.7735,0.374175,-0.90045,-5.54,-0.085308,
PPP3R1,NM_000945.3,0.7735,0.374916,-0.89904,-5.541,-0.091316,
IFIT1,NM_001548.3,0.7735,0.375313,-0.89828,-5.542,-0.227607,
NAA50,NM_025146.1,0.7735,0.375808,0.89734,-5.543,0.07448,
SESN2,NM_031459.4,0.7735,0.376643,0.89576,-5.544,0.187343,
IL6ST,NM_002184.2,0.7735,0.37777,0.89362,-5.546,0.156733,
TRGV3/5,,0.7735,0.379543,-0.89026,-5.549,-0.273607,ENST00000390346.1
FCER2,NM_002002.4,0.7735,0.3805,0.88846,-5.55,0.204916,
IFNG,NM_000619.2,0.7735,0.381166,-0.8872,-5.551,-0.257819,
HLA-DRA,NM_019111.3,0.7735,0.382253,-0.88515,-5.553,-0.168585,
IRF8,NM_002163.2,0.7735,0.382631,0.88444,-5.554,0.147873,
GZMA,NM_006144.2,0.7735,0.387622,-0.8751,-5.561,-0.163163,
PSMA6,NM_002791.2,0.7735,0.388026,-0.87435,-5.562,-0.089666,
LEPR,NM_001003679.1,0.7735,0.389168,0.87222,-5.564,0.153441,
HLA-DPB1,NM_002121.5,0.7735,0.389538,-0.87153,-5.564,-0.150005,
PPM1F,NM_014634.3,0.7735,0.391023,-0.86878,-5.566,-0.097586,
PTPRC,NM_080921.3,0.7735,0.391236,0.86838,-5.567,0.082806,
PRKCB,NM_212535.1,0.7735,0.39169,0.86754,-5.567,0.086208,
CDKN2C,NM_001262.2,0.7735,0.393085,-0.86496,-5.57,-0.101911,
CDC16,NM_003903.3,0.7735,0.393262,0.86463,-5.57,0.16063,
IL11RA,NM_147162.1,0.7735,0.393645,0.86393,-5.57,0.141751,
NR4A1,NM_173157.1,0.7735,0.393958,0.86335,-5.571,0.223553,
CD86,NM_175862.4,0.7735,0.395266,-0.86094,-5.573,-0.204258,
TRAF2,NM_021138.3,0.7735,0.39587,-0.85983,-5.574,-0.117181,
CD160,NM_007053.3,0.7738,0.397276,0.85724,-5.576,0.192271,
PTPRJ,NM_001098503.1,0.7745,0.399295,0.85354,-5.579,0.073565,
PPT1,NM_000310.3,0.7745,0.402343,-0.84798,-5.583,-0.13548,
CD22,NM_001771.2,0.7745,0.402578,0.84755,-5.583,0.19489,
CTBP2,NM_001329.4,0.7745,0.403855,0.84523,-5.585,0.134648,
SOS1,NM_005633.2,0.7745,0.404867,0.84339,-5.587,0.109248,
IL10RB,NM_000628.4,0.7745,0.404927,-0.84328,-5.587,-0.141029,
PPP2R1A,NM_014225.3,0.7799,0.409616,-0.83481,-5.594,-0.056079,
IGHV4-59,,0.7799,0.410233,-0.8337,-5.594,-0.234423,ENST00000390629.1
CUL2,NM_003591.2,0.7824,0.41277,0.82915,-5.598,0.118222,
NKG7,NM_005601.3,0.7882,0.417729,-0.82029,-5.605,-0.167542,
CTSW,NM_001335.3,0.7882,0.418279,0.81931,-5.606,0.177988,
CYP4A11/22,NM_001010969.3,0.7921,0.421606,0.81341,-5.61,0.267154,
HDAC9,NM_178423.2,0.793,0.426781,0.80429,-5.617,0.138542,
CFLAR,NM_001127183.1,0.793,0.427831,0.80245,-5.618,0.071383,
PTGS2,NM_000963.1,0.793,0.428469,0.80133,-5.619,0.302971,
NRL,NM_006177.3,0.793,0.428759,0.80083,-5.62,0.176779,
CD45RA,NM_002838.4,0.793,0.429094,0.80024,-5.62,0.103669,
TRPC1,NM_003304.4,0.793,0.429594,0.79936,-5.621,0.128641,
FOXO3,NM_001455.2,0.799,0.434116,0.79148,-5.627,0.065981,
CCNA1,NM_003914.3,0.8137,0.444789,0.77307,-5.64,0.179655,
SMARCA4,NM_001128849.1,0.8137,0.445185,0.77239,-5.641,0.071758,
PPARGC1A,NM_013261.3,0.8137,0.445989,-0.77102,-5.642,-0.222408,
CCL3/L1,NM_002983.3,0.8137,0.447198,0.76895,-5.643,0.273758,
STAT3,NM_003150.3,0.8193,0.45253,0.75988,-5.65,0.066444,
ELOVL4,NM_022726.3,0.8193,0.453139,0.75885,-5.65,0.170365,
MX1,NM_002462.2,0.8193,0.454184,0.75708,-5.652,0.155622,
MAML3,NM_018717.4,0.8201,0.455906,0.75417,-5.654,0.115902,
STAT1,NM_007315.3,0.8275,0.461676,-0.74447,-5.66,-0.089994,
RELA,NM_021975.4,0.8275,0.463513,-0.74139,-5.663,-0.06964,
IGHG4,,0.8275,0.465199,-0.73858,-5.665,-0.294579,ENST00000390543.1
NPRL3,NM_001039476.2,0.8275,0.465218,0.73855,-5.665,0.082367,
TRGV9,,0.8281,0.466869,-0.7358,-5.667,-0.175042,ENST00000444775.1
HADHB,NM_000183.2,0.8291,0.471144,-0.7287,-5.671,-0.069702,
DNMT3A,NM_022552.5,0.8291,0.472284,-0.72681,-5.673,-0.0991,
ELOVL3,NM_152310.3,0.8291,0.472336,-0.72673,-5.673,-0.149773,
ELOVL2,NM_017770.3,0.8291,0.47264,0.72623,-5.673,0.139482,
NFKB1,NM_003998.2,0.8317,0.476606,0.71969,-5.678,0.072637,
PTK2B,NM_004103.3,0.8317,0.47678,0.7194,-5.678,0.193888,
RORgt,NM_001001523.1,0.8385,0.483275,-0.70876,-5.685,-0.191937,
IL6,NM_000600.3,0.8385,0.484246,0.70718,-5.686,0.167009,
CD40,NM_001250.4,0.8385,0.48461,0.70658,-5.686,0.120885,
LGALS9,NM_002308.3,0.8466,0.491006,-0.6962,-5.693,-0.111073,
VAV2,NM_001134398.1,0.8466,0.493994,0.69138,-5.696,0.11014,
FZD7,NM_003507.1,0.8466,0.494192,0.69106,-5.697,0.18933,
CREB5,NM_182898.2,0.8466,0.495546,0.68888,-5.698,0.17422,
PTPN11,NM_002834.3,0.8466,0.497026,-0.6865,-5.7,-0.061732,
DGKZ,NM_001105540.1,0.8466,0.498796,-0.68366,-5.701,-0.052537,
LILRA4,NM_012276.3,0.8466,0.499969,-0.68178,-5.703,-0.130842,
FUT4,NM_002033.2,0.8466,0.499983,-0.68176,-5.703,-0.086816,
PIK3CD,NM_005026.3,0.8527,0.505154,-0.6735,-5.708,-0.062709,
TNFRSF9,NM_001561.4,0.8527,0.508211,0.66864,-5.711,0.112532,
CYP26A1,NM_000783.4,0.8527,0.508299,0.6685,-5.711,0.140086,
SESN1,NM_014454.2,0.8527,0.510005,-0.6658,-5.713,-0.095719,
SYK,NM_003177.5,0.8527,0.512981,-0.66109,-5.716,-0.10766,
IFNA4/7/10/17/21,NM_021268.2,0.8527,0.513791,0.65981,-5.716,0.225335,
CASP3,NM_004346.3,0.8527,0.514105,0.65932,-5.717,0.086795,
PPP3CA,NM_000944.4,0.8527,0.514307,0.659,-5.717,0.057649,
GNLY,NM_006433.2,0.8529,0.515818,-0.65662,-5.718,-0.168588,
TCL1A,NM_001098725.1,0.8529,0.517095,0.65461,-5.72,0.168852,
LDHAL6A,NM_001144071.1,0.8544,0.521433,0.64781,-5.724,0.138683,
STAT5B,NM_012448.3,0.8544,0.521708,0.64738,-5.724,0.071972,
ICOS,NM_012092.3,0.8544,0.522068,0.64681,-5.725,0.101429,
RAG1,NM_000448.2,0.8596,0.526601,0.63974,-5.729,0.114932,
ACADVL,NM_001270447.1,0.8601,0.528662,-0.63654,-5.731,-0.04793,
TGFB2,NM_003238.2,0.8601,0.5303,0.634,-5.732,0.15347,
RGS2,NM_002923.3,0.8601,0.530929,-0.63302,-5.733,-0.169267,
IL1RN,NM_000577.3,0.8823,0.546889,-0.60848,-5.747,-0.137343,
TNFRSF1B,NM_001066.2,0.8823,0.54811,0.60662,-5.748,0.093286,
TRIM46,NM_025058.4,0.8823,0.54883,-0.60552,-5.749,-0.109622,
MCM5,NM_006739.3,0.8827,0.550444,-0.60306,-5.75,-0.058784,
MAPK1,NM_138957.2,0.8855,0.553608,-0.59826,-5.753,-0.054585,
SIGLEC1,NM_023068.3,0.8891,0.558262,0.59122,-5.757,0.205666,
WNT11,NM_004626.2,0.8891,0.559355,0.58957,-5.758,0.145154,
MMP14,NM_004995.2,0.8891,0.561176,-0.58682,-5.759,-0.091155,
SMAD2,NM_001003652.3,0.8891,0.561481,-0.58636,-5.76,-0.046392,
FAM30A,NR_026800.2,0.8918,0.564984,0.5811,-5.763,0.124323,
FOXP3,NM_014009.3,0.8918,0.566857,0.57829,-5.764,0.077728,
IRAK3,NM_007199.1,0.8918,0.567374,0.57751,-5.765,0.164072,
IGHG2,,0.8925,0.569227,-0.57474,-5.766,-0.229485,ENST00000390545.1
TLE4,NM_007005.3,0.8927,0.576557,-0.56382,-5.772,-0.053854,
LILRB2,NM_001278405.1,0.8927,0.577455,-0.56248,-5.773,-0.134609,
BTRC,NM_001256856.1,0.8927,0.582576,0.5549,-5.777,0.046941,
E2F2,NM_004091.3,0.8927,0.583444,-0.55361,-5.777,-0.115956,
CCR7,NM_001838.3,0.8927,0.583672,-0.55328,-5.778,-0.1394,
TNFRSF17,NM_001192.2,0.8927,0.58397,-0.55284,-5.778,-0.197584,
PBX1,NM_002585.3,0.8927,0.584317,0.55232,-5.778,0.132335,
CREB3L2,NM_194071.3,0.8927,0.584473,0.55209,-5.778,0.051243,
SPIB,NM_003121.4,0.8927,0.585553,0.5505,-5.779,0.101865,
PPP2R5B,NM_006244.3,0.8927,0.586369,-0.5493,-5.78,-0.053469,
S100A12,NM_005621.1,0.8927,0.587387,-0.5478,-5.78,-0.163988,
HLA-DPA1,NM_033554.3,0.8927,0.58818,-0.54663,-5.781,-0.110099,
ZAP70,NM_001079.3,0.8927,0.588258,-0.54652,-5.781,-0.085431,
PTPN18,NM_014369.4,0.8927,0.589058,-0.54534,-5.782,-0.098562,
HIPK1,NM_152696.3,0.8933,0.590849,-0.54271,-5.783,-0.053239,
LTBP1,NM_000627.3,0.8949,0.594772,0.53696,-5.786,0.148345,
CD226,NM_001303618.1,0.8949,0.595725,0.53556,-5.787,0.093549,
CD79B,NM_001039933.1,0.8949,0.596151,0.53494,-5.787,0.095102,
FOS,NM_005252.3,0.8995,0.602292,0.52598,-5.792,0.249707,
AHR,NM_001621.3,0.8995,0.603975,-0.52354,-5.793,-0.080348,
MAPK11,NM_002751.6,0.8995,0.605242,-0.5217,-5.794,-0.062831,
CEBPD,NM_005195.3,0.8995,0.606721,-0.51955,-5.795,-0.096363,
DLD,NM_000108.3,0.8995,0.606915,0.51927,-5.795,0.051143,
ZNF683,NM_001114759.1,0.8995,0.60772,-0.5181,-5.795,-0.219034,
ACSL4,NM_004458.2,0.9078,0.617518,0.50396,-5.802,0.088685,
PSMA1,NM_148976.2,0.9078,0.618267,0.50289,-5.803,0.03711,
ALOX5,NM_000698.2,0.9078,0.618345,0.50277,-5.803,0.098133,
BAK1,NM_001188.3,0.9078,0.61913,0.50165,-5.803,0.037467,
TLR10,NM_030956.2,0.9078,0.621088,-0.49884,-5.805,-0.100405,
TNF,NM_000594.2,0.9078,0.621884,0.49769,-5.805,0.08269,
GBP3,NM_018284.3,0.9121,0.627289,0.48996,-5.809,0.075797,
EGF,NM_001963.4,0.9121,0.627687,0.48939,-5.809,0.142293,
MX2,NM_002463.1,0.9132,0.62989,-0.48625,-5.811,-0.056888,
LDHA,NM_005566.3,0.9135,0.631525,-0.48392,-5.812,-0.046573,
ELOVL7,NM_024930.1,0.9152,0.634138,0.48021,-5.813,0.153849,
ACSL6,NM_001009185.1,0.9183,0.63773,0.47511,-5.816,0.115857,
TBX21,NM_013351.1,0.9237,0.642985,-0.46767,-5.819,-0.111011,
MS4A2,NM_000139.3,0.9255,0.645633,0.46393,-5.821,0.140881,
BTLA,NM_181780.2,0.93,0.654005,-0.45216,-5.826,-0.070006,
KLF2,NM_016270.2,0.93,0.65432,-0.45172,-5.826,-0.051023,
E2F1,NM_005225.1,0.93,0.655954,0.44943,-5.827,0.078905,
GBP2,NM_004120.3,0.93,0.656531,-0.44863,-5.827,-0.044161,
NRAS,NM_002524.4,0.93,0.657541,0.44721,-5.828,0.038695,
RGS16,NM_002928.2,0.93,0.657569,0.44717,-5.828,0.098094,
CD40LG,NM_000074.2,0.9324,0.660757,-0.44272,-5.83,-0.069284,
TRGV4,,0.9324,0.66225,0.44063,-5.831,0.146361,ENST00000390345.1
GRAP2,NM_001291826.1,0.9334,0.667237,-0.43369,-5.834,-0.063363,
CXCL11,NM_005409.4,0.9334,0.670628,0.42898,-5.836,0.116611,
IL7R,NM_002185.3,0.9334,0.670894,0.42861,-5.836,0.070696,
PYCR1,NM_006907.2,0.9334,0.671087,-0.42834,-5.836,-0.113952,
GATA6,NM_005257.3,0.9334,0.671961,0.42713,-5.836,0.101286,
TRDV3,,0.9334,0.672145,-0.42687,-5.836,-0.202243,ENST00000535880.1
MAPK9,NM_139069.2,0.9334,0.674299,0.42389,-5.838,0.045525,
NUP54,NM_001278603.1,0.9334,0.676478,0.42088,-5.839,0.081416,
TLR2,NM_003264.3,0.9334,0.676824,0.4204,-5.839,0.120948,
BPI,NM_001725.2,0.9334,0.677667,0.41923,-5.84,0.123449,
NCR1,NM_004829.5,0.9338,0.679402,0.41684,-5.84,0.083209,
TNFSF4,NM_003326.2,0.9338,0.680857,0.41483,-5.841,0.08587,
IL12RB1,NM_005535.1,0.9354,0.68354,-0.41113,-5.843,-0.044897,
TTK,NM_003318.3,0.9355,0.685052,0.40905,-5.844,0.076042,
NFATC4,NM_001136022.2,0.9365,0.688251,0.40465,-5.845,0.092817,
SP100,NM_003113.3,0.9365,0.690072,0.40215,-5.846,0.055908,
MAPK14,NM_001315.2,0.9365,0.690881,-0.40105,-5.847,-0.052731,
CDC42,NM_001039802.1,0.9365,0.691885,-0.39967,-5.847,-0.036643,
ATM,NM_000051.3,0.9365,0.693148,0.39794,-5.848,0.052555,
APH1A,NM_001077628.1,0.9382,0.695916,-0.39415,-5.849,-0.027869,
GZMK,NM_002104.2,0.9389,0.700541,0.38783,-5.852,0.076468,
TLR1,NM_003263.3,0.9389,0.70176,-0.38617,-5.852,-0.065285,
DIABLO,NM_138930.3,0.9389,0.703421,-0.38391,-5.853,-0.054334,
CTF1,NM_001330.5,0.9389,0.704487,-0.38246,-5.854,-0.096204,
INPPL1,NM_001567.2,0.9389,0.705666,-0.38085,-5.854,-0.035226,
E2F5,NM_001083588.1,0.9389,0.70652,0.37969,-5.855,0.062919,
ST3GAL6,NM_001271148.1,0.9389,0.706785,-0.37933,-5.855,-0.099026,
RBX1,NM_014248.2,0.9455,0.715451,0.36758,-5.859,0.047082,
CD244,NM_001166663.1,0.9455,0.718315,-0.36371,-5.86,-0.052123,
IGHA1,,0.9455,0.719525,-0.36207,-5.861,-0.145005,ENST00000641837.1
CD8B,NM_172099.2,0.9455,0.719612,-0.36196,-5.861,-0.091675,
RARA,NM_001024809.3,0.9455,0.722821,-0.35763,-5.862,-0.056906,
IL1B,NM_000576.2,0.9455,0.722929,0.35748,-5.862,0.15154,
TNFRSF4,NM_003327.3,0.9455,0.723084,0.35727,-5.862,0.068195,
GYS2,NM_021957.3,0.9455,0.723622,-0.35655,-5.863,-0.079327,
TRGC2,,0.9471,0.727129,-0.35182,-5.864,-0.093801,ENST00000436911.1
JAK3,NM_000215.2,0.9471,0.727816,-0.3509,-5.865,-0.046483,
KLRB1,NM_002258.2,0.9494,0.732473,0.34464,-5.867,0.069393,
CD3G,NM_000073.2,0.9494,0.732594,-0.34448,-5.867,-0.042546,
IRF4,NM_002460.1,0.9523,0.738968,0.33594,-5.869,0.058715,
BMP8A/B,XM_005271149.4,0.9523,0.741896,0.33202,-5.871,0.063659,
CALM1,NM_006888.4,0.9523,0.742767,-0.33086,-5.871,-0.039615,
BCL2L1,NM_001191.3,0.9523,0.743477,-0.32991,-5.871,-0.039719,
IFNA5,NM_002169.2,0.9523,0.744209,0.32894,-5.872,0.077714,
LRP6,NM_002336.1,0.9523,0.748101,-0.32375,-5.873,-0.062352,
PIK3AP1,NM_152309.2,0.9523,0.749987,-0.32123,-5.874,-0.048488,
ASB4,NM_016116.2,0.9523,0.750204,0.32095,-5.874,0.078001,
PIK3R2,NM_005027.3,0.9523,0.751035,0.31984,-5.875,0.076575,
PRF1,NM_001083116.1,0.9523,0.753133,0.31705,-5.875,0.064143,
KIR2DL3/4,NM_014511.3,0.9523,0.754145,0.3157,-5.876,0.079302,
CD72,NM_001782.2,0.9523,0.755506,0.3139,-5.876,0.058196,
FBXW4,NM_022039.3,0.9523,0.757363,0.31143,-5.877,0.033883,
CD8A,NM_001768.6,0.9523,0.757697,0.31099,-5.877,0.060282,
ACOT1/2,NM_001037161.1,0.9523,0.758626,-0.30975,-5.878,-0.039611,
ITGAL,NM_002209.2,0.9523,0.75883,0.30948,-5.878,0.027306,
RARB,NM_000965.5,0.9612,0.767531,-0.29797,-5.881,-0.084309,
