ID,GB_ACC,adj.P.Val,P.Value,t,B,logFC,SPOT_ID
GRB10,NM_001001549.2,0.97,0.895355,0.13251,-5.915,0.019588,
ITGA6,NM_000210.1,0.97,0.8963,-0.13131,-5.915,-0.022615,
YWHAZ,NM_001135699.1,0.97,0.896688,0.13082,-5.915,0.009415,
DLL4,NM_019074.2,0.9729,0.900865,-0.1255,-5.916,-0.027061,
HLA-E,NM_005516.5,0.9733,0.902751,-0.1231,-5.916,-0.01082,
CR2,NM_001006658.1,0.9741,0.905105,0.1201,-5.916,0.022586,
TUSC2,NM_007275.2,0.9756,0.910209,0.11361,-5.917,0.020953,
JAG1,NM_000214.2,0.9756,0.910603,0.11311,-5.917,0.022798,
GATA3,NM_001002295.1,0.9756,0.912946,-0.11013,-5.918,-0.016892,
CD5,NM_014207.2,0.9756,0.913509,-0.10942,-5.918,-0.018246,
GLUD1/2,NM_012084.3,0.9756,0.914112,-0.10865,-5.918,-0.009952,
CDH1,NM_004360.2,0.9768,0.918076,-0.10362,-5.918,-0.018562,
IL18,NM_001562.3,0.9768,0.918306,0.10333,-5.918,0.026971,
KLRC2/3,NM_002260.3,0.9769,0.920219,-0.1009,-5.919,-0.051894,
SMC3,NM_005445.3,0.9769,0.921478,-0.0993,-5.919,-0.011276,
XIAP,NM_001167.3,0.98,0.92677,0.09259,-5.919,0.011032,
TNFRSF10A,NM_003844.2,0.98,0.928413,0.09051,-5.919,0.010968,
SLC2A12,NM_145176.2,0.98,0.929074,0.08967,-5.92,0.028256,
LYN,NM_002350.3,0.9848,0.937867,0.07853,-5.92,0.014264,
TELO2,NM_016111.3,0.9848,0.939387,-0.0766,-5.921,-0.012124,
CCL5,NM_002985.2,0.9848,0.940409,-0.07531,-5.921,-0.015407,
KLRD1,NM_001351060.1,0.9848,0.940853,-0.07474,-5.921,-0.016191,
EOMES,NM_005442.2,0.9848,0.941965,0.07334,-5.921,0.014967,
CHEK1,NM_001114122.2,0.9848,0.945277,0.06914,-5.921,0.008998,
CRLF2,NM_022148.3,0.9848,0.945954,0.06829,-5.921,0.011581,
BTK,NM_000061.1,0.9848,0.947583,-0.06623,-5.921,-0.012713,
NCR3,NM_147130.2,0.9848,0.949158,-0.06423,-5.921,-0.012544,
IL1RL1,NM_016232.4,0.9848,0.949175,-0.06421,-5.921,-0.016835,
CCNB3,NM_033031.2,0.9858,0.952824,0.0596,-5.922,0.012596,
SLC8A1,NM_021097.1,0.9858,0.954667,0.05726,-5.922,0.014815,
MAPK8,NM_002750.2,0.9858,0.954797,-0.0571,-5.922,-0.007247,
CDKN1C,NM_000076.2,0.9906,0.961409,-0.04874,-5.922,-0.008555,
HMGB1,NM_002128.4,0.9906,0.96305,0.04667,-5.922,0.006379,
JAK2,NM_004972.3,0.9906,0.964113,0.04532,-5.922,0.007322,
TOX4,NM_014828.2,0.9933,0.972034,-0.03531,-5.923,-0.002932,
ENTPD1,NM_001098175.1,0.9933,0.97434,0.0324,-5.923,0.007698,
PTPRS,NM_002850.3,0.9933,0.977974,0.02781,-5.923,0.006068,
PTGR1,NM_001146109.1,0.9933,0.979636,-0.02571,-5.923,-0.005754,
LCP2,NM_005565.3,0.9933,0.980574,0.02453,-5.923,0.003609,
DVL1,NM_004421.2,0.9933,0.98072,0.02434,-5.923,0.002821,
ITGA10,NM_003637.3,0.9933,0.985314,0.01854,-5.923,0.004274,
FCGR3A/B,NM_000570.4,0.9933,0.985429,-0.0184,-5.923,-0.003332,
IFIT3,NM_001031683.2,0.9933,0.986123,-0.01752,-5.923,-0.004012,
TBK1,NM_013254.2,0.9933,0.9865,-0.01704,-5.923,-0.002569,
TCF7,NM_201633.2,0.9933,0.987283,0.01606,-5.923,0.00266,
ORC4,NM_181742.1,0.9933,0.987813,-0.01539,-5.923,-0.001463,
LRRK2,NM_198578.3,0.9933,0.990147,0.01244,-5.923,0.003408,
TRGC1,,0.9933,0.990757,-0.01167,-5.923,-0.002915,ENST00000443402.1
IL10RA,NM_001558.2,0.9933,0.99148,-0.01076,-5.923,-0.000901,
KLRC1,NM_002259.3,0.9933,0.992829,0.00905,-5.923,0.002159,
MS4A4A,NM_001243266.1,0.9933,0.993311,-0.00844,-5.923,-0.00254,
