Symbol,Description,GeneID,log2(fold change),-log10(Pvalue)
FSTL4,follistatin like 4,23105,1.67,1.626
KIF20A,kinesin family member 20A,10112,2.106,1.406
ABLIM3,actin binding LIM protein family member 3,22885,1.841,1.545
SPARC,secreted protein acidic and cysteine rich,6678,1.915,1.551
CLMAT3,colorectal liver metastasis associated transcript 3,101927096,2.039,1.725
BMP6,bone morphogenetic protein 6,654,1.32,1.669
CD83,CD83 molecule,9308,-3.295,1.586
GMPR,guanosine monophosphate reductase,2766,1.432,1.517
LOC102724765,uncharacterized LOC102724765,102724765,1.415,3.914
H2BC4,H2B clustered histone 4,8347,1.092,1.35
H2AC6,H2A clustered histone 6,8334,1.537,1.676
H2AC8,H2A clustered histone 8,3012,1.137,1.545
H2BC9,H2B clustered histone 9,8345,1.502,1.586
LOC105374986,uncharacterized LOC105374986,105374986,1.554,1.529
H2BC11,H2B clustered histone 11,8970,1.589,2.049
H3C10,H3 clustered histone 10,8357,1.76,2.26
H2BC17,H2B clustered histone 17,8348,1.964,1.487
LY6G6F-LY6G6D,LY6G6F-LY6G6D readthrough,110599563,1.781,1.417
LY6G6F,lymphocyte antigen 6 family member G6F,259215,1.781,1.414
CPNE5,copine 5,57699,1.312,1.511
LOC105375056,uncharacterized LOC105375056,105375056,1.625,1.989
VEGFA,vascular endothelial growth factor A,7422,-3.112,1.583
TNFRSF21,TNF receptor superfamily member 21,27242,-1.064,1.302
SNHG5,small nucleolar RNA host gene 5,387066,-1.182,1.551
SLC16A10,solute carrier family 16 member 10,117247,-1.527,1.529
TRAPPC3L,trafficking protein particle complex subunit 3L,100128327,1.514,1.324
TNFAIP3,TNF alpha induced protein 3,7128,-2.583,1.535
ULBP2,UL16 binding protein 2,80328,-4.53,1.534
AHR,aryl hydrocarbon receptor,196,-1.117,1.475
GCK,glucokinase,2645,-1.696,1.321
SBDS,SBDS ribosome maturation factor,51119,-1.305,1.494
NAMPT,nicotinamide phosphoribosyltransferase,10135,-2.827,1.414
PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta,5577,1.505,1.507
NRCAM,neuronal cell adhesion molecule,4897,-1.723,1.551
CLU,clusterin,1191,1.754,1.535
MIR6843,microRNA 6843,102465508,1.656,1.414
RNF5P1,ring finger protein 5 pseudogene 1,286140,1.895,2.347
CA2,carbonic anhydrase 2,760,1.502,2.714
SHB,SH2 domain containing adaptor protein B,6461,-2.121,1.477
KLF9,KLF transcription factor 9,687,-1.367,1.381
NR4A3,nuclear receptor subfamily 4 group A member 3,8013,-4.862,1.493
LOC102723324,uncharacterized LOC102723324,102723324,1.749,1.967
GFI1B,growth factor independent 1B transcriptional repressor,8328,1.782,2.22
PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",5209,-1.868,1.351
ENKUR,"enkurin, TRPC channel interacting protein",219670,1.54,4.497
CREM,cAMP responsive element modulator,1390,-4.304,1.796
LOC283028,uncharacterized LOC283028,283028,2.268,1.551
RHOBTB1,Rho related BTB domain containing 1,9886,1.814,1.767
PPIF,peptidylprolyl isomerase F,10105,-2.403,1.471
PDLIM1,PDZ and LIM domain 1,9124,1.142,2.027
HEAT2,HEart disease Associated Transcript 2,113633881,1.551,1.406
LOC107984271,,107984271,1.639,1.862
