ingested_at,is_blood_sample
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
2026-04-20T21:49:07.534993+00:00,False
