symbol,geneid,description,pvalue,padj,log2foldchange,stat,basemean,ingested_at,bronze_source_file,series_id,gb_acc,neg_log10_pvalue,dataset_id
TGFB1I1,7041,transforming growth factor beta 1 induced transcript 1,1.59e-05,0.0061796,1.98145,4.3165,44.68,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.209,NOS0001
PTX3,5806,pentraxin 3,1.91e-05,0.0069427,-2.51639,-4.27501,199.32,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.158,NOS0001
ACRBP,84519,acrosin binding protein,2.09e-05,0.00743,1.33538,4.25485,1260.94,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.129,NOS0001
ZNF385D,79750,zinc finger protein 385D,2.27e-05,0.0077307,2.08716,4.2362,26.65,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.112,NOS0001
MFAP3L,9848,microfibril associated protein 3 like,2.42e-05,0.0080531,1.59005,4.22227,98.78,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.094,NOS0001
SPX,80763,spexin hormone,2.51e-05,0.008174,1.59192,4.21426,60.37,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.088,NOS0001
CAVIN2,8436,caveolae associated protein 2,2.75e-05,0.0087769,1.81109,4.19359,3905.01,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.057,NOS0001
FHL2,2274,four and a half LIM domains 2,2.83e-05,0.008879,1.32777,4.18648,57.99,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.052,NOS0001
H2BC11,8970,H2B clustered histone 11,2.94e-05,0.0089339,1.58853,4.17802,78.67,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.049,NOS0001
CD248,57124,CD248 molecule,3.02e-05,0.0089339,-1.30977,-4.17207,198.35,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.049,NOS0001
GYS2,2998,glycogen synthase 2,3.02e-05,0.0089339,1.77145,4.17208,44.25,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.049,NOS0001
VIT,5212,vitrin,3.33e-05,0.0094007,2.49965,4.14992,22.23,2026-04-21T19:52:28.856995+00:00,bronze_GSE251849.csv,GSE251849,,2.027,NOS0001
